본부명,지사명,노선명,구간,방향,5km,발생건수,위도,경도
서울경기,화성,서해안선,310~315,목포,310,3,37.21747062,126.8719943
서울경기,화성,서해안선,310~315,서울,310,3,37.21747062,126.8719943
서울경기,시흥,수도권제1순환선,100~105,판교,100,4,37.41908589,126.828963
서울경기,경기광주,중부선,325~330,통영,325,6,37.24895724,127.4213702
서울경기,경기광주,중부선,325~330,하남,325,3,37.24895724,127.4213702
서울경기,경기광주,중부선,345~350,통영,345,3,37.39776704,127.3107927
서울경기,경기광주,중부선, 320~325 ,통영,320,3,37.20776468,127.4422137
강원,강릉,동해선, 15~20 ,속초,15,3,37.48629241,129.0907032
강원,강릉,동해선, 25~30 ,근덕,25,3,37.57440212,129.095934
강원,원주,영동선, 90~95 ,인천,90,3,37.2367515,127.6082536
강원,원주,영동선, 120~125 ,강릉,120,3,37.3461271,127.8714305
강원,원주,영동선, 125~130 ,인천,125,3,37.36874775,127.9176649
강원,원주,영동선, 155~160 ,인천,155,4,37.47547139,128.155756
강원,홍천,중부선, 315~320 ,춘천,315,9,37.16308804,127.4400352
강원,홍천,중부선, 325~330 ,춘천,325,5,37.24895724,127.4213702
강원,홍천,중부선, 360~365 ,부산,360,4,37.50779374,127.2272491
강원,홍천,중부선, 370~375 ,부산,370,3,37.53205567,127.1953621
강원,홍천,중부선, 380~385 ,춘천,380,4,37.53205567,127.1953621
충북,상주,중부내륙선, 180~185 ,양평,180,4,36.69384504,128.1116517
충북,진천,중부선, 245~250 ,하남,245,3,36.57914957,127.4275038
충북,진천,중부선, 250~255 ,통영,250,4,36.62226637,127.4202485
충북,진천,중부선, 255~260 ,하남,255,3,36.666547,127.4240858
충북,진천,중부선, 255~260 ,통영,255,3,36.666547,127.4240858
충북,진천,중부선, 260~265 ,하남,260,4,36.70880232,127.4375391
충북,진천,중부선, 265~270 ,통영,265,6,36.74561896,127.4691292
충북,진천,중부선, 265~270 ,하남,265,3,36.74561896,127.4691292
충북,진천,중부선, 275~280 ,하남,275,5,36.81738099,127.4910263
충북,진천,중부선, 295~300 ,하남,295,3,36.99133404,127.474735
충북,진천,중부선, 295~300 ,통영,295,4,36.99133404,127.474735
충북,진천,중부선, 305~310 ,하남,305,3,37.07745194,127.4625306
충북,진천,중부선, 305~310 ,통영,305,4,37.07745194,127.4625306
충북,제천,중앙선, 265~270 ,부산,265,3,36.74561896,127.4691292
충북,제천,중앙선, 270~275 ,부산,270,3,36.77827315,127.5066813
충북,제천,중부선, 295~300 ,춘천,295,3,36.99133404,127.474735
충북,제천,중부선, 305~310 ,춘천,305,3,37.07745194,127.4625306
충북,제천,중앙선, 310~315 ,춘천,310,4,37.1185146,127.4448232
충북,보은,청주영덕선, 5~10 ,영덕,5,3,36.81626191,126.6534305
충북,보은,청주영덕선, 40~45 ,청주,40,4,36.59005302,126.9009977
충북,보은,청주영덕선, 70~75 ,영덕,70,3,36.49757054,127.1654894
충북,엄정,평택제천선, 55~60 ,제천,55,4,36.9473256,127.4426183
